user_id,age,items_sold_last_30_days,churned,payment_method,support_contacts_last_30_days
1,30,30,0,bank_transfer,3
2,27,17,1,credit_card,3
3,31,66,1,bank_transfer,9
4,34,79,0,bank_transfer,11
5,27,51,0,bank_transfer,12
6,27,20,0,credit_card,3
7,34,27,0,bank_transfer,2
8,31,101,0,bank_transfer,10
9,26,13,0,credit_card,9
10,30,49,0,bank_transfer,7
11,26,102,0,credit_card,6
12,26,99,0,bank_transfer,13
13,29,122,0,bank_transfer,6
14,20,52,0,bank_transfer,11
15,21,58,0,bank_transfer,9
16,26,27,0,bank_transfer,3
17,24,12,0,bank_transfer,5
18,29,37,0,credit_card,10
19,24,88,0,bank_transfer,5
20,22,3,0,bank_transfer,3
21,34,29,0,credit_card,12
22,27,62,0,bank_transfer,13
23,28,42,0,bank_transfer,9
24,22,95,1,credit_card,1
25,26,82,0,bank_transfer,1
26,28,11,0,bank_transfer,2
27,23,44,0,credit_card,12
28,30,22,0,bank_transfer,9
29,26,22,1,credit_card,11
30,27,12,0,credit_card,3
31,26,50,0,bank_transfer,6
32,35,97,0,credit_card,12
33,28,53,0,bank_transfer,6
34,24,11,0,bank_transfer,14
35,31,40,1,credit_card,5
36,23,60,0,bank_transfer,14
37,29,38,0,bank_transfer,7
38,20,52,0,bank_transfer,4
39,23,24,0,credit_card,8
40,29,35,0,bank_transfer,9
41,31,33,0,bank_transfer,5
42,29,108,0,bank_transfer,13
43,28,17,1,bank_transfer,10
44,27,4,0,credit_card,6
45,22,104,0,bank_transfer,8
46,25,46,1,credit_card,10
47,26,14,0,bank_transfer,10
48,32,77,1,credit_card,4
49,29,63,0,credit_card,11
50,21,120,0,bank_transfer,13
51,29,48,0,bank_transfer,4
52,26,176,0,bank_transfer,14
53,25,38,0,bank_transfer,12
54,30,63,0,bank_transfer,5
55,32,69,0,credit_card,12
56,32,29,0,bank_transfer,14
57,25,29,0,bank_transfer,7
58,27,70,0,credit_card,9
59,29,13,0,bank_transfer,10
60,32,22,0,bank_transfer,1
61,26,37,1,bank_transfer,14
62,27,117,0,bank_transfer,3
63,24,70,0,credit_card,9
64,23,44,0,credit_card,3
65,31,27,0,bank_transfer,14
66,33,148,0,credit_card,13
67,28,40,1,bank_transfer,13
68,32,22,0,credit_card,11
69,29,167,0,credit_card,11
70,25,13,1,credit_card,2
71,29,99,0,bank_transfer,2
72,34,42,0,bank_transfer,8
73,28,70,0,credit_card,5
74,34,62,0,bank_transfer,14
75,18,69,0,bank_transfer,9
76,31,177,0,bank_transfer,10
77,28,159,0,bank_transfer,7
78,27,23,0,bank_transfer,7
79,28,60,0,credit_card,1
80,20,7,0,bank_transfer,8
81,27,75,0,bank_transfer,12
82,29,87,0,bank_transfer,9
83,34,4,0,bank_transfer,1
84,26,41,0,credit_card,8
85,25,70,0,credit_card,2
86,26,54,1,bank_transfer,1
87,32,13,0,bank_transfer,12
88,29,15,0,bank_transfer,5
89,26,37,0,bank_transfer,5
90,30,29,0,credit_card,1
91,28,32,0,bank_transfer,8
