user_id,total_play,Artist,genre,track
BF6EA5AF,9285138808302445,Marina Rei,pop,Musica
FB1E568E,282981,Stive Morgan,ambient,Love Planet
FB1E568E,282981,Stive Morgan,ambient,Love Planet
EF15C7BA,8.966,,dance,Loving Every Minute
82F52E69,193.77632653061224,Rixton,pop,Me And My Broken Heart
4166D680,3.007,Henry Hall & His Gleneagles Hotel Band,jazz,Home
F4F5677,0.1,,classicalmetal,
386FE1ED,211.88,,electronic,Riviera
A5E0D927,3.161,Andrew Paul Woodworth,pop,The Name Of This Song Is Called
E9E8A0CA,274.39,Pillar Point,indie,Dove
